country,decade,revenues,taxes.percap
Spain,1700,28.6105943,28.6105943
Spain,1710,NA,28.6105943
Spain,1720,NA,28.6105943
Spain,1730,NA,28.6105943
Spain,1740,NA,28.6105943
Spain,1750,46.21116572,46.21116572
Spain,1760,NA,46.21116572
Spain,1770,NA,46.21116572
Spain,1780,58.99802873,58.99802873
Spain,1790,NA,58.99802873
