country,decade,population
Denmark,1540.0,64e4
Denmark,1550.0,65e4
Denmark,1560.0,66e4
Denmark,1570.0,67e4
Denmark,1580.0,68e4
Denmark,1590.0,69e4
Denmark,1600.0,7e5
Denmark,1610.0,71e4
Denmark,1620.0,72e4
Denmark,1630.0,73e4
Denmark,1640.0,74e4
Denmark,1650.0,75e4
Denmark,1660.0,76e4
Denmark,1670.0,77e4
Denmark,1680.0,78e4
Denmark,1690.0,79e4
Denmark,1700.0,8e5
Denmark,1710.0,82e4
Denmark,1720.0,84e4
Denmark,1730.0,86e4
Denmark,1740.0,88e4
Denmark,1750.0,9e5
Denmark,1760.0,92e4
Denmark,1770.0,94e4
Denmark,1780.0,96e4
Denmark,1790.0,98e4
Denmark,1800.0,1e6
Denmark,1810.0,115e4
Denmark,1820.0,13e5
Denmark,1830.0,145e4
Denmark,1840.0,16e5
Denmark,1850.0,175e4
Denmark,1860.0,19e5
Denmark,1870.0,205e4
Denmark,1880.0,22e5
Denmark,1890.0,235e4
Denmark,1900.0,25e5
England,1300.0,3236250.0
England,1310.0,3128375.0
England,1320.0,3020500.0
England,1330.0,2912625.0
England,1340.0,2804750.0
England,1350.0,2696875.0
England,1360.0,2589e3
England,1370.0,2481125.0
England,1380.0,2373250.0
England,1390.0,2265375.0
England,1400.0,2157500.0
England,1410.0,2265375.0
England,1420.0,2373250.0
England,1430.0,2481125.0
England,1440.0,2589e3
England,1450.0,2696875.0
England,1460.0,2804750.0
England,1470.0,2912625.0
England,1480.0,3020500.0
England,1490.0,3128375.0
England,1500.0,3236250.0
England,1510.0,3279400.0
England,1520.0,3322550.0
England,1530.0,3365700.0
England,1540.0,3408850.0
England,1550.0,3452e3
England,1560.0,3495150.0
England,1570.0,3538300.0
England,1580.0,3581450.0
England,1590.0,3624600.0
England,1600.0,3667750.0
England,1610.0,3797200.0
England,1620.0,3926650.0
England,1630.0,4056100.0
England,1640.0,4185550.0
England,1650.0,4315e3
England,1660.0,4444450.0
England,1670.0,4573900.0
England,1680.0,4703350.0
England,1690.0,4832800.0
England,1700.0,4962250.0
England,1710.0,5264300.0
England,1720.0,5566350.0
England,1730.0,5868400.0
England,1740.0,6170450.0
England,1750.0,6472500.0
England,1760.0,6774550.0
England,1770.0,7076600.0
England,1780.0,7378650.0
England,1790.0,7680700.0
England,1800.0,7982750.0
England,1810.0,10032375.0
England,1820.0,12082e3
England,1830.0,14131625.0
England,1840.0,16181250.0
England,1850.0,18230875.0
England,1860.0,20280500.0
England,1870.0,22330125.0
England,1880.0,24379750.0
England,1890.0,26429375.0
England,1900.0,28479e3
Estonia,1300.0,65e3
Estonia,1310.0,67e3
Estonia,1320.0,69e3
Estonia,1330.0,71e3
Estonia,1340.0,73e3
Estonia,1350.0,75e3
Estonia,1360.0,77e3
Estonia,1370.0,79e3
Estonia,1380.0,81e3
Estonia,1390.0,83e3
Estonia,1400.0,85e3
Estonia,1410.0,87e3
Estonia,1420.0,89e3
Estonia,1430.0,91e3
Estonia,1440.0,93e3
Estonia,1450.0,95e3
Estonia,1460.0,97e3
Estonia,1470.0,99e3
Estonia,1480.0,101e3
Estonia,1490.0,103e3
Estonia,1500.0,105e3
Estonia,1510.0,107e3
Estonia,1520.0,109e3
Estonia,1530.0,111e3
Estonia,1540.0,113e3
Estonia,1550.0,115e3
Estonia,1560.0,117e3
Estonia,1570.0,119e3
Estonia,1580.0,121e3
Estonia,1590.0,123e3
Estonia,1600.0,125e3
Estonia,1610.0,15e4
Estonia,1620.0,175e3
Estonia,1630.0,2e5
Estonia,1640.0,225e3
Estonia,1650.0,25e4
Estonia,1660.0,275e3
Estonia,1670.0,3e5
Estonia,1680.0,325e3
Estonia,1690.0,35e4
Estonia,1700.0,375e3
Estonia,1710.0,386e3
Estonia,1720.0,397e3
Estonia,1730.0,408e3
Estonia,1740.0,419e3
Estonia,1750.0,43e4
Estonia,1760.0,441e3
Estonia,1770.0,452e3
Estonia,1780.0,463e3
Estonia,1790.0,474e3
Estonia,1800.0,485e3
Estonia,1810.0,496500.0
Estonia,1820.0,508e3
Estonia,1830.0,519500.0
Estonia,1840.0,531e3
Estonia,1850.0,542500.0
Estonia,1860.0,554e3
Estonia,1870.0,565500.0
Estonia,1880.0,577e3
Estonia,1890.0,588500.0
Estonia,1900.0,6e5
Finland,1300.0,1e5
Finland,1310.0,1e5
Finland,1320.0,1e5
Finland,1330.0,1e5
Finland,1340.0,1e5
Finland,1350.0,1e5
Finland,1360.0,1e5
Finland,1370.0,1e5
Finland,1380.0,1e5
Finland,1390.0,1e5
Finland,1400.0,1e5
Finland,1410.0,1e5
Finland,1420.0,1e5
Finland,1430.0,1e5
Finland,1440.0,1e5
Finland,1450.0,1e5
Finland,1460.0,1e5
Finland,1470.0,1e5
Finland,1480.0,1e5
Finland,1490.0,1e5
Finland,1500.0,1e5
Finland,1510.0,11e4
Finland,1520.0,12e4
Finland,1530.0,13e4
Finland,1540.0,14e4
Finland,1550.0,15e4
Finland,1560.0,16e4
Finland,1570.0,17e4
Finland,1580.0,18e4
Finland,1590.0,19e4
Finland,1600.0,2e5
Finland,1610.0,21e4
Finland,1620.0,22e4
Finland,1630.0,23e4
Finland,1640.0,24e4
Finland,1650.0,25e4
Finland,1660.0,26e4
Finland,1670.0,27e4
Finland,1680.0,28e4
Finland,1690.0,29e4
Finland,1700.0,3e5
Finland,1710.0,35e4
Finland,1720.0,4e5
Finland,1730.0,45e4
Finland,1740.0,5e5
Finland,1750.0,55e4
Finland,1760.0,6e5
Finland,1770.0,65e4
Finland,1780.0,7e5
Finland,1790.0,75e4
Finland,1800.0,8e5
Finland,1810.0,995e3
Finland,1820.0,119e4
Finland,1830.0,1385e3
Finland,1840.0,158e4
Finland,1850.0,1775e3
Finland,1860.0,197e4
Finland,1870.0,2165e3
Finland,1880.0,236e4
Finland,1890.0,2555e3
Finland,1900.0,275e4
France,1300.0,16e6
France,1310.0,155e5
France,1320.0,15e6
France,1330.0,145e5
France,1340.0,14e6
France,1350.0,135e5
France,1360.0,13e6
France,1370.0,125e5
France,1380.0,12e6
France,1390.0,115e5
France,1400.0,11e6
France,1410.0,114e5
France,1420.0,118e5
France,1430.0,122e5
France,1440.0,126e5
France,1450.0,13e6
France,1460.0,134e5
France,1470.0,138e5
France,1480.0,142e5
France,1490.0,146e5
France,1500.0,15e6
France,1510.0,1535e4
France,1520.0,157e5
France,1530.0,1605e4
France,1540.0,164e5
France,1550.0,1675e4
France,1560.0,171e5
France,1570.0,1745e4
France,1580.0,178e5
France,1590.0,1815e4
France,1600.0,185e5
France,1610.0,1885e4
France,1620.0,192e5
France,1630.0,1955e4
France,1640.0,199e5
France,1650.0,2025e4
France,1660.0,206e5
France,1670.0,2095e4
France,1680.0,213e5
France,1690.0,2165e4
France,1700.0,22e6
France,1710.0,227e5
France,1720.0,234e5
France,1730.0,241e5
France,1740.0,248e5
France,1750.0,255e5
France,1760.0,262e5
France,1770.0,269e5
France,1780.0,276e5
France,1790.0,283e5
France,1800.0,29e6
France,1810.0,302e5
France,1820.0,314e5
France,1830.0,326e5
France,1840.0,338e5
France,1850.0,35e6
France,1860.0,362e5
France,1870.0,374e5
France,1880.0,386e5
France,1890.0,398e5
France,1900.0,41e6
Germany,1300.0,9e6
Germany,1310.0,875e4
Germany,1320.0,85e5
Germany,1330.0,825e4
Germany,1340.0,8e6
Germany,1350.0,775e4
Germany,1360.0,75e5
Germany,1370.0,725e4
Germany,1380.0,7e6
Germany,1390.0,675e4
Germany,1400.0,65e5
Germany,1410.0,675e4
Germany,1420.0,7e6
Germany,1430.0,725e4
Germany,1440.0,75e5
Germany,1450.0,775e4
Germany,1460.0,8e6
Germany,1470.0,825e4
Germany,1480.0,85e5
Germany,1490.0,875e4
Germany,1500.0,9e6
Germany,1510.0,93e5
Germany,1520.0,96e5
Germany,1530.0,99e5
Germany,1540.0,102e5
Germany,1550.0,105e5
Germany,1560.0,108e5
Germany,1570.0,111e5
Germany,1580.0,114e5
Germany,1590.0,117e5
Germany,1600.0,12e6
Germany,1610.0,121e5
Germany,1620.0,122e5
Germany,1630.0,123e5
Germany,1640.0,124e5
Germany,1650.0,125e5
Germany,1660.0,126e5
Germany,1670.0,127e5
Germany,1680.0,128e5
Germany,1690.0,129e5
Germany,1700.0,13e6
Germany,1710.0,135e5
Germany,1720.0,14e6
Germany,1730.0,145e5
Germany,1740.0,15e6
Germany,1750.0,155e5
Germany,1760.0,16e6
Germany,1770.0,165e5
Germany,1780.0,17e6
Germany,1790.0,175e5
Germany,1800.0,18e6
Germany,1810.0,205e5
Germany,1820.0,23e6
Germany,1830.0,255e5
Germany,1840.0,28e6
Germany,1850.0,305e5
Germany,1860.0,33e6
Germany,1870.0,355e5
Germany,1880.0,38e6
Germany,1890.0,405e5
Germany,1900.0,43e6
Hungary,1300.0,125e4
Hungary,1310.0,1225e3
Hungary,1320.0,12e5
Hungary,1330.0,1175e3
Hungary,1340.0,115e4
Hungary,1350.0,1125e3
Hungary,1360.0,11e5
Hungary,1370.0,1075e3
Hungary,1380.0,105e4
Hungary,1390.0,1025e3
Hungary,1400.0,1e6
Hungary,1410.0,1025e3
Hungary,1420.0,105e4
Hungary,1430.0,1075e3
Hungary,1440.0,11e5
Hungary,1450.0,1125e3
Hungary,1460.0,115e4
Hungary,1470.0,1175e3
Hungary,1480.0,12e5
Hungary,1490.0,1225e3
Hungary,1500.0,125e4
Hungary,1510.0,125e4
Hungary,1520.0,125e4
Hungary,1530.0,125e4
Hungary,1540.0,125e4
Hungary,1550.0,125e4
Hungary,1560.0,125e4
Hungary,1570.0,125e4
Hungary,1580.0,125e4
Hungary,1590.0,125e4
