country,decade,century,trials,battles,population,trials.mil,battles.mil,ln.trials,ln.trials.mil,ln1p.trials,ln1p.trials.mil,battles.tp1,battles.tp2,battles.tp3,battles.mil.tp1,battles.mil.tp2,battles.mil.tp3,weather,urbanization,real.wage,taxes.percap,temperature
Austria,1610.0,1600.0,0.0,2.0,25e5,0.0,0.8,NA,NA,0.0,0.0,2.0,0.0,0.0,0.8,0.0,0.0,NA,3.64,5.6252689444,NA,0.6267437923028383
Austria,1620.0,1600.0,1.0,2.0,25e5,0.4,0.8,0.0,-0.916290731874155,0.6931471805599453,0.33647223662121295,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,5.217249224,NA,0.028356416680603215
Austria,1630.0,1600.0,0.0,0.0,25e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,5.4104121834,NA,0.42132723052207033
Austria,1640.0,1600.0,1.0,0.0,25e5,0.4,0.0,0.0,-0.916290731874155,0.6931471805599453,0.33647223662121295,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,6.2840128157,NA,-0.4092701714610296
Austria,1650.0,1600.0,0.0,0.0,25e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,7.2266843909,10.55270792,-0.10114532878987978
Austria,1660.0,1600.0,0.0,0.0,25e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,6.4171422758,10.55270792,0.412396075662038
Austria,1670.0,1600.0,0.0,0.0,25e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,6.651943639,10.55270792,-0.18599129996019306
Austria,1680.0,1600.0,1.0,0.0,25e5,0.4,0.0,0.0,-0.916290731874155,0.6931471805599453,0.33647223662121295,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,7.1529478067,10.55270792,-0.3824767068809286
Austria,1690.0,1600.0,0.0,0.0,25e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.64,5.864135927,10.55270792,-2.816216406240012
Austria,1700.0,1700.0,0.0,0.0,25e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,6.0432984303,15.57090372,NA
