decade,country,temperature,avg.temp,sd.temp,zscore.temp
1500.0,Austria,5.931,5.76365,0.22393520561936991,0.7473143829132889
1510.0,Austria,5.646,5.76365,0.22393520561936991,-0.5253751846414622
1520.0,Austria,6.002,5.76365,0.22393520561936991,1.064370380444471
1530.0,Austria,6.211,5.76365,0.22393520561936991,1.997676063317957
1540.0,Austria,5.937,5.76365,0.22393520561936991,0.7741078474933899
1550.0,Austria,6.016,5.76365,0.22393520561936991,1.1268884644647055
1560.0,Austria,5.634,5.76365,0.22393520561936991,-0.5789621138016602
1570.0,Austria,5.567,5.76365,0.22393520561936991,-0.8781558016127777
1580.0,Austria,5.731,5.76365,0.22393520561936991,-0.14580110309004551
1590.0,Austria,5.542,5.76365,0.22393520561936991,-0.989795237363196
1600.0,Austria,5.722,5.76365,0.22393520561936991,-0.18599129996019306
1610.0,Austria,5.904,5.76365,0.22393520561936991,0.6267437923028383
1620.0,Austria,5.77,5.76365,0.22393520561936991,0.028356416680603215
1630.0,Austria,5.858,5.76365,0.22393520561936991,0.42132723052207033
1640.0,Austria,5.672,5.76365,0.22393520561936991,-0.4092701714610296
1650.0,Austria,5.741,5.76365,0.22393520561936991,-0.10114532878987978
1660.0,Austria,5.856,5.76365,0.22393520561936991,0.412396075662038
1670.0,Austria,5.722,5.76365,0.22393520561936991,-0.18599129996019306
1680.0,Austria,5.678,5.76365,0.22393520561936991,-0.3824767068809286
1690.0,Austria,5.133,5.76365,0.22393520561936991,-2.816216406240012
1500.0,Belgium,9.368,9.0797,0.2822054309597138,1.0215962145716317
1510.0,Belgium,8.919,9.0797,0.2822054309597138,-0.5694433287605333
1520.0,Belgium,9.367,9.0797,0.2822054309597138,1.0180526966577534
1530.0,Belgium,9.588,9.0797,0.2822054309597138,1.80117015562525
1540.0,Belgium,9.165,9.0797,0.2822054309597138,0.3022620780539669
1550.0,Belgium,9.379,9.0797,0.2822054309597138,1.0605749116243102
1560.0,Belgium,8.96,9.0797,0.2822054309597138,-0.4241590942914479
1570.0,Belgium,8.865,9.0797,0.2822054309597138,-0.7607932961100597
1580.0,Belgium,8.979,9.0797,0.2822054309597138,-0.35683225392773177
1590.0,Belgium,8.889,9.0797,0.2822054309597138,-0.6757488661769404
1600.0,Belgium,9.029,9.0797,0.2822054309597138,-0.17965635823372417
1610.0,Belgium,9.227,9.0797,0.2822054309597138,0.5219601887145373
1620.0,Belgium,8.963,9.0797,0.2822054309597138,-0.4135285405498134
1630.0,Belgium,9.341,9.0797,0.2822054309597138,0.9259212308968653
1640.0,Belgium,9.066,9.0797,0.2822054309597138,-0.04854619542015755
1650.0,Belgium,9.098,9.0797,0.2822054309597138,0.06484637782400579
1660.0,Belgium,9.11,9.0797,0.2822054309597138,0.10736859279056234
1670.0,Belgium,8.893,9.0797,0.2822054309597138,-0.6615747945214152
1680.0,Belgium,9.152,9.0797,0.2822054309597138,0.25619634517352596
1690.0,Belgium,8.236,9.0797,0.2822054309597138,-2.989666063940642
1500.0,Bulgaria,10.132,10.1263,0.1403312247205835,0.040618187515633404
1510.0,Bulgaria,10.133,10.1263,0.1403312247205835,0.047744185325390764
1520.0,Bulgaria,10.22,10.1263,0.1403312247205835,0.6677059947746355
1530.0,Bulgaria,10.252,10.1263,0.1403312247205835,0.8957379246869975
