event,lon,lat
Confessional battle,8.6724335,49.3987524
Confessional battle,8.4660395,49.4874592
Confessional battle,4.2871622,51.4945758
Confessional battle,6.1565522,51.679984
Confessional battle,6.9137972,51.9920909
Confessional battle,17.1260024,48.8529391
Confessional battle,4.7769505,51.58307
Confessional battle,-1.151139,46.160329
Confessional battle,12.24245,51.82224
Confessional battle,14.28583,48.30694
Confessional battle,13.7708033,48.3447243
Confessional battle,9.813056,52.183889
Confessional battle,10.2678979,51.9893213
Confessional battle,6.6113711,52.0419627
Confessional battle,-1.151139,46.160329
Confessional battle,-1.151139,46.160329
Confessional battle,10.97561,54.3696799
Confessional battle,9.4260898,53.7911914
Confessional battle,8.450503,45.1316088
Confessional battle,13.0770347,54.3090654
Confessional battle,13.7665592,54.0496018
Confessional battle,5.3036748,51.6978162
Confessional battle,6.6295679,51.6643079
Confessional battle,10.7913751,45.1564168
Confessional battle,9.9181521,45.355516
Confessional battle,7.4016896,45.076291
Confessional battle,11.6276237,52.1205333
Confessional battle,13.2779269,53.5678292
Confessional battle,14.5505673,52.3472237
Confessional battle,14.1872086,51.8131059
Confessional battle,12.37307,51.3397
Confessional battle,4.2162383,51.5332946
Confessional battle,9.9533548,49.7913044
Confessional battle,10.9027636,49.8988135
Confessional battle,10.9208893,48.6901541
Confessional battle,11.4257541,48.7665351
Confessional battle,5.6909725,50.8513682
Confessional battle,10.972363,49.454322
Confessional battle,9.4512418,50.3166763
Confessional battle,12.1417687,51.2558562
Confessional battle,10.89779,48.3705449
Confessional battle,9.2459402999999991,52.1715493
Confessional battle,11.4977392,48.5325215
Confessional battle,9.4512418,50.3166763
Confessional battle,12.1016236,49.0134297
Confessional battle,11.9669667,48.0780006
Confessional battle,16.1553231,51.2070067
Confessional battle,12.1016236,49.0134297
Confessional battle,12.1468532,48.5441917
Confessional battle,10.4894906,48.8508157
Confessional battle,8.6304529,45.1330057
Confessional battle,5.00162,50.61754
Confessional battle,4.7,50.883333
Confessional battle,2.511947,49.907676
Confessional battle,8.2472526,49.9928617
Confessional battle,5.262806,47.102266
Confessional battle,6.4981099,49.184543
Confessional battle,11.2699357,53.1358097
Confessional battle,12.0857297,53.5900958
Confessional battle,12.3961712,52.9432288
Confessional battle,8.9283105,50.1264123
Confessional battle,8.7097632,45.5813483
Confessional battle,4.7769505,51.58307
Confessional battle,12.485556,53.163611
Confessional battle,10.7730519,45.5670961
Confessional battle,6.5899097,51.5460798
Confessional battle,7.791667,47.561111
Confessional battle,4.4024643,51.2194475
Confessional battle,2.252208,50.750115
Confessional battle,7.761365,48.328779
Confessional battle,7.5836067,48.0348382
Confessional battle,7.176532,47.807124
Confessional battle,8.8560945,52.1605973
Confessional battle,-1.8001488,43.3708434
Confessional battle,2.252208,50.750115
Confessional battle,12.9213697,50.827845
Confessional battle,14.6592444,50.1863259
Confessional battle,14.481781,50.353902
Confessional battle,-2.4623,57.538932
Confessional battle,-2.094278,57.149717
Confessional battle,-2.209288,56.963661
Confessional battle,6.168426,49.357571
Confessional battle,3.162048,44.534143
Confessional battle,0.4097467,51.899764
Confessional battle,7.8275551,45.008885
Confessional battle,7.102382,47.810702
Confessional battle,8.450503,45.1316088
Confessional battle,12.1368679,50.4976133
Confessional battle,7.6868565,45.070312
Confessional battle,-1.7425365,54.9842861
Confessional battle,2.173404,41.38506
Confessional battle,10.5408484,52.1640413
Confessional battle,4.93863,49.70349
Confessional battle,-6.3560985,53.717856
Confessional battle,-6.285651,53.6729374
Confessional battle,6.4205309,51.3649942
Confessional battle,-9.4859374,52.6406999
Confessional battle,3.199481,50.038278
Confessional battle,-6.3402299,54.1751024
Confessional battle,2.173404,41.38506
Confessional battle,17.2508787,49.593778
Confessional battle,16.475679,50.849843
Confessional battle,-2.221575,52.193636
Confessional battle,-1.453197,52.113518
Confessional battle,-8.7318174,51.746124
Confessional battle,12.37307,51.3397
Confessional battle,-0.3101169,51.486073
Confessional battle,-0.2671732,51.4876272
Confessional battle,-1.260889,53.883551
Confessional battle,-8.4863157,51.8968917
Confessional battle,-6.0580106,54.516246
Confessional battle,-6.20728,55.297949
Confessional battle,-4.6524982,50.5036299
Confessional battle,-2.297121,51.876149
Confessional battle,-2.910584,52.391041
Confessional battle,-6.82663,52.39195
Confessional battle,-1.5490774,53.8007554
Confessional battle,-4.358558,50.640134
Confessional battle,-0.9781303,51.4542645
