battle,month,year,decade,century,city,country,war,war.theater,lon,lat,gadm.adm0,gadm.adm1,gadm.adm2,source,source.page
Parma,May,1551,1550,1500,Parma,Italy,Schmalkaldic Wars,War of the German Reformation,10.3279036,44.801485,Italy,Emilia-Romagna,Parma,Tracy (2002),240
Metz,November,1552,1550,1500,Metz,France,Schmalkaldic Wars,War of the German Reformation,6.1757156,49.1193089,France,Lorraine,Moselle,Tracy (2002),239
Sieveshausen,July,1553,1550,1500,Sieveshausen,Germany,Schmalkaldic Wars,War of the German Reformation,9.655833,51.769722,Germany,Niedersachsen,Braunschweig,Jaques (2007),942
Vassy,March,1562,1560,1500,Wassy,France,French Wars of Religion,First French War of Religion,4.948753,48.499508,France,Champagne-Ardenne,Haute-Marne,Jaques (2007),1064
Corrichie,October,1562,1560,1500,Banchory,Scotland,Marian Civil War,NA,-2.49096,57.053856,United Kingdom,Scotland,Aberdeenshire,Wormald (2001),123
Rouen,October,1562,1560,1500,Rouen,France,French Wars of Religion,First French War of Religion,1.099971,49.443232,France,Haute-Normandie,Seine-Maritime,Jaques (2007),866
Vergt,October,1562,1560,1500,Vergt,France,French Wars of Religion,First French War of Religion,0.7193119,45.026165,France,Aquitaine,Dordogne,Jaques (2007),1070
Dreux,December,1562,1560,1500,Dreux,France,French Wars of Religion,First French War of Religion,1.370889,48.736134,France,Centre,Eure-et-Loir,Jaques (2007),314
Inverness,NA,1562,1560,1500,Inverness,Scotland,Marian Civil War,NA,-4.224721,57.477773,United Kingdom,Scotland,Highland,Wormald (2001),125
Orleans,February,1563,1560,1500,Orleans,France,French Wars of Religion,First French War of Religion,1.909251,47.902964,France,Centre,Loiret,Jaques (2007),758
Le Havre,July,1563,1560,1500,Le Havre,France,French Wars of Religion,First French War of Religion,0.107929,49.49437,France,Haute-Normandie,Seine-Maritime,Jaques (2007),578
Chaseabout Raid,NA,1565,1560,1500,Stirling,Scotland,Marian Civil War,NA,-3.9369029,56.1165227,United Kingdom,Scotland,Stirling,Wormald (2001),157
Valenciennes,December,1566,1560,1500,Valenciennes,France,Eighty Years' War,Netherlands War of Independence,3.518332,50.357113,France,Nord-Pas-de-Calais,Nord,Jaques (2007),1059
Oosterweel,March,1567,1560,1500,Antwerp,Belgium,Eighty Years' War,Netherlands War of Independence,4.4024643,51.2194475,Belgium,Vlaanderen,Antwerpen,Parker (1977),97
Carberry Hill,June,1567,1560,1500,Musselburgh,Scotland,Marian Civil War,NA,-3.053918,55.941941,United Kingdom,Scotland,East Lothian,Jaques (2007),200
Saint-Denis,November,1567,1560,1500,Saint-Denis,France,French Wars of Religion,Second French War of Religion,2.357443,48.936181,France,Ile-de-France,Seine-Saint-Denis,Jaques (2007),878
Chartres,February,1568,1560,1500,Chartres,France,French Wars of Religion,Second French War of Religion,1.489012,48.443854,France,Centre,Eure-et-Loir,Knecht (2010),xv
Heiligerlee,May,1568,1560,1500,Heiligerlee,Netherlands,Eighty Years' War,Netherlands War of Independence,7.0118901,53.1549624,Netherlands,Groningen,Reiderland,Jaques (2007),440
Langside,May,1568,1560,1500,Langside,Scotland,Marian Civil War,NA,-3.9542091,56.3016086,United Kingdom,Scotland,Perthshire and Kinross,Jaques (2007),568
Jemmingen,July,1568,1560,1500,Jemgum,Germany,Eighty Years' War,Netherlands War of Independence,7.3849319,53.2682267,Germany,Niedersachsen,Weser-Ems,Jaques (2007),489
Jodoigne,October,1568,1560,1500,Jodoigne,Belgium,Eighty Years' War,Netherlands War of Independence,4.87115,50.72336,Belgium,Wallonie,Brabant Wallon,Jaques (2007),496
Jarnac,March,1569,1560,1500,Bassac,France,French Wars of Religion,Third French War of Religion,-0.104503,45.663292,France,Poitou-Charentes,Charente,Jaques (2007),487
La Roche-L'Abeille,June,1569,1560,1500,La Roche-l'Abeille,France,French Wars of Religion,Third French War of Religion,1.240181,45.596783,France,Limousin,Haute-Vienne,Jaques (2007),571
Poitiers,July,1569,1560,1500,Poitiers,France,French Wars of Religion,Third French War of Religion,0.340375,46.580224,France,Poitou-Charentes,Vienne,Jaques (2007),806
Orthez,August,1569,1560,1500,Orthez,France,French Wars of Religion,Third French War of Religion,-0.7739279,43.48756,France,Aquitaine,Pyrenees-Atlantiques,Jaques (2007),759
Moncontour,October,1569,1560,1500,Moncontour,France,French Wars of Religion,Third French War of Religion,-2.63149,48.361272,France,Bretagne,Cotes-d'Armor,Jaques (2007),674
Saint-Jean-d'Angely,October,1569,1560,1500,Saint-Jean-d'Angely,France,French Wars of Religion,Third French War of Religion,-0.517763,45.944823,France,Poitou-Charentes,Charente-Maritime,Knecht (2010),xv
Arnay-le-Duc,June,1570,1570,1500,Arnay-le-Duc,France,French Wars of Religion,Third French War of Religion,4.485898,47.130623,France,Bourgogne,Cote-d'Or,Jaques (2007),68
Brielle,April,1572,1570,1500,Brielle,Netherlands,Eighty Years' War,Netherlands War of Independence,4.1636846,51.902582,Netherlands,Zuid-Holland,Brielle,Jaques (2007),165
Flushing,April,1572,1570,1500,Vlissingen,Netherlands,Eighty Years' War,Netherlands War of Independence,3.5709125,51.4536672,Netherlands,Zeeland,Vlissingen,Parker (1977),133
Mons,June,1572,1570,1500,Mons,Belgium,Eighty Years' War,Netherlands War of Independence,3.956659,50.4542408,Belgium,Wallonie,Hainaut,Jaques (2007),676
St. Bartholomew's Eve,August,1572,1570,1500,Paris,France,French Wars of Religion,Fourth French War of Religion,2.3522219,48.856614,France,Ile-de-France,Paris,Jaques (2007),877
Mechelen,October,1572,1570,1500,Mechelen,Belgium,Eighty Years' War,Netherlands War of Independence,4.4775362,51.0258761,Belgium,Vlaanderen,Antwerpen,Parker (1977),141
Middelburg,November,1572,1570,1500,Middleburg,Netherlands,Eighty Years' War,Netherlands War of Independence,3.610998,51.4987962,Netherlands,Zeeland,Middelburg,Jaques (2007),661
Zutphen,November,1572,1570,1500,Zutphen,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1960584,52.142736,Netherlands,Gelderland,Warnsveld,Parker (1977),142
Haarlem,December,1572,1570,1500,Haarlem,Netherlands,Eighty Years' War,Netherlands War of Independence,4.6462194,52.3873878,Netherlands,Noord-Holland,Haarlem,Jaques (2007),424
La Rochelle,December,1572,1570,1500,La Rochelle,France,French Wars of Religion,Fourth French War of Religion,-1.151139,46.160329,France,Poitou-Charentes,Charente-Maritime,Jaques (2007),572
Naarden,December,1572,1570,1500,Naarden,Netherlands,Eighty Years' War,Netherlands War of Independence,5.1604238,52.2952549,Netherlands,Noord-Holland,Naarden,Jaques (2007),703
Sancerre,March,1573,1570,1500,Sancerre,France,French Wars of Religion,Fourth French War of Religion,2.839867,47.329583,France,Centre,Cher,Knecht (2010),xvi
Alkmaar,August,1573,1570,1500,Alkmaar,Netherlands,Eighty Years' War,Netherlands War of Independence,4.7533754,52.6323813,Netherlands,Noord-Holland,Alkmaar,Jaques (2007),35
Leyden (Leiden),October,1573,1570,1500,Leiden,Netherlands,Eighty Years' War,Netherlands War of Independence,4.4970097,52.1601144,Netherlands,Zuid-Holland,Leiden,Jaques (2007),584
Zuyder Zee (Zuiderzee),October,1573,1570,1500,Ijsselmeer,Netherlands,Eighty Years' War,Netherlands War of Independence,5.3235903,52.7978321,Netherlands,Noord-Holland,Andijk,Jaques (2007),1137
Edinburgh,NA,1573,1570,1500,Edinburgh,Scotland,Marian Civil War,NA,-3.188267,55.953252,United Kingdom,Scotland,Edinburgh,Wormald (2001),184
Geertruidenberg,NA,1573,1570,1500,Geertruidenberg,Netherlands,Eighty Years' War,Netherlands War of Independence,4.8499781,51.7023659,Netherlands,Noord-Brabant,Geertruidenberg,Parker (1977),162
Walcheren (Reimerswaal),January,1574,1570,1500,Walcheren,Netherlands,Eighty Years' War,Netherlands War of Independence,5.1369542,52.0604289,Netherlands,Utrecht,Utrecht,Jaques (2007),1091
Mookerheyde,April,1574,1570,1500,Mook en Middelaar,Netherlands,Eighty Years' War,Netherlands War of Independence,5.8962161,51.7521696,Netherlands,Limburg,Mook en Middelaar,Jaques (2007),684
Dormans,October,1575,1570,1500,Dormans,France,French Wars of Religion,Fifth French War of Religion,3.638479,49.07464,France,Champagne-Ardenne,Marne,Jaques (2007),310
Zierikzee,October,1575,1570,1500,Zierikzee,Netherlands,Eighty Years' War,Netherlands War of Independence,3.9184977,51.6501218,Netherlands,Zeeland,Schouwen-Duiveland,Jaques (2007),1133
Buren,NA,1575,1570,1500,Buren,Netherlands,Eighty Years' War,Netherlands War of Independence,5.3340584,51.9103889,Netherlands,Gelderland,Buren,Tracy (2008),99
Schoonhoven,NA,1575,1570,1500,Schoonhoven,Netherlands,Eighty Years' War,Netherlands War of Independence,4.8432204,51.9525204,Netherlands,Zuid-Holland,Schoonhoven,Tracy (2008),99
Aalst,July,1576,1570,1500,Aalst,Belgium,Eighty Years' War,Netherlands War of Independence,4.0409517,50.9378101,Belgium,Vlaanderen,Oost-Vlaanderen,Parker (1977),173
Antwerp,November,1576,1570,1500,Antwerp,Belgium,Eighty Years' War,Netherlands War of Independence,4.4024643,51.2194475,Belgium,Vlaanderen,Antwerpen,Jaques (2007),56
La Charite-sur-Loire,May,1577,1570,1500,La Charite-sur-Loire,France,French Wars of Religion,Sixth French War of Religion,3.018014,47.177091,France,Bourgogne,Nievre,Knecht (2010),xvii
Issoire,June,1577,1570,1500,Issoire,France,French Wars of Religion,Sixth French War of Religion,3.248128,45.54151,France,Auvergne,Puy-de-Dome,Knecht (2010),xvii
Namur,July,1577,1570,1500,Namur,Belgium,Eighty Years' War,Netherlands War of Independence,4.8719854,50.4673883,Belgium,Wallonie,Namur,Tracy (2008),158
Gembloux,January,1578,1570,1500,Gembloux,Belgium,Eighty Years' War,Netherlands War of Independence,4.68843,50.56515,Belgium,Wallonie,Namur,Parker (1977),186
Rymenant (Rijmenam),August,1578,1570,1500,Rijmenam,Belgium,Eighty Years' War,Netherlands War of Independence,4.5902677,51.0037609,Belgium,Vlaanderen,Antwerpen,Jaques (2007),871
Oudenaarde,NA,1578,1570,1500,Oudenaarde,Belgium,Eighty Years' War,Netherlands War of Independence,3.601368,50.846955,Belgium,Vlaanderen,Oost-Vlaanderen,Tracy (2008),139
Maastricht,March,1579,1570,1500,Maastricht,Netherlands,Eighty Years' War,Netherlands War of Independence,5.6909725,50.8513682,Netherlands,Limburg,Maastricht,Jaques (2007),611
Mechelen,May,1579,1570,1500,Mechelen,Belgium,Eighty Years' War,Netherlands War of Independence,4.4775362,51.0258761,Belgium,Vlaanderen,Antwerpen,Tracy (2008),157
Mechelen,April,1580,1580,1500,Mechelen,Belgium,Eighty Years' War,Netherlands War of Independence,4.4775362,51.0258761,Belgium,Vlaanderen,Antwerpen,Tracy (2008),157
Cahors,May,1580,1580,1500,Cahors,France,French Wars of Religion,Seventh French War of Religion,1.441989,44.4475229,France,Midi-Pyrenees,Lot,Knecht (2010),xviii
Hardenberg Heath,June,1580,1580,1500,Hardenberg,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6166947,52.5754084,Netherlands,Overijssel,Hardenberg,Jaques (2007),434
Steenwijk,October,1580,1580,1500,Steenwijk,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1180686,52.7868939,Netherlands,Overijssel,Steenwijkerland,Jaques (2007),969
Aachen,May,1581,1580,1500,Aachen,Germany,Eighty Years' War,Netherlands War of Independence,6.0838868,50.7753455,Germany,Nordrhein-Westfalen,Koln,Israel (1997),28
Kollum,July,1581,1580,1500,Kollum,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1477459,53.2801424,Netherlands,Friesland,Kollumerland c.a.,Jaques (2007),538
Noordhorn,September,1581,1580,1500,Groningen,Netherlands,Eighty Years' War,Netherlands War of Independence,6.5665018,53.2193835,Netherlands,Groningen,Groningen,Jaques (2007),736
Tournai,October,1581,1580,1500,Tournai,Belgium,Eighty Years' War,Netherlands War of Independence,3.3879338,50.6056475,Belgium,Wallonie,Hainaut,Jaques (2007),1030
Eindhoven,April,1583,1580,1500,Eindhoven,Netherlands,Eighty Years' War,Netherlands War of Independence,5.4697225,51.441642,Netherlands,Noord-Brabant,Eindhoven,Tracy (2008),216
Dunkirk,July,1583,1580,1500,Dunkirk,France,Eighty Years' War,Netherlands War of Independence,2.3767763,51.0343684,France,Nord-Pas-de-Calais,Nord,Tracy (2008),216
Steenbergen,NA,1583,1580,1500,Steenbergen,Netherlands,Eighty Years' War,Netherlands War of Independence,4.3155991,51.5812395,Netherlands,Noord-Brabant,Steenbergen,Tracy (2008),216
Bonn,January,1584,1580,1500,Bonn,Germany,Eighty Years' War,Netherlands War of Independence,7.0982068,50.73743,Germany,Nordrhein-Westfalen,Koln,Tracy (2008),222
Antwerp,June,1584,1580,1500,Antwerp,Belgium,Eighty Years' War,Netherlands War of Independence,4.4024643,51.2194475,Belgium,Vlaanderen,Antwerpen,Jaques (2007),56
Ghent,October,1584,1580,1500,Ghent,Belgium,Eighty Years' War,Netherlands War of Independence,3.7174243,51.0543422,Belgium,Vlaanderen,Oost-Vlaanderen,Tracy (2008),217
Brussels,March,1585,1580,1500,Brussels,Belgium,Eighty Years' War,Netherlands War of Independence,4.3517103,50.8503396,Belgium,Bruxelles,Bruxelles,Tracy (2008),158
Neuss,May,1585,1580,1500,Neuss,Germany,Eighty Years' War,Netherlands War of Independence,6.6879511,51.2041968,Germany,Nordrhein-Westfalen,Dusseldorf,Tracy (2008),222
Mechelen,July,1585,1580,1500,Mechelen,Belgium,Eighty Years' War,Netherlands War of Independence,4.4775362,51.0258761,Belgium,Vlaanderen,Antwerpen,Tracy (2008),158
Arnhem,October,1585,1580,1500,Arnhem,Belgium,Eighty Years' War,Netherlands War of Independence,4.8279351,51.174422,Belgium,Vlaanderen,Antwerpen,Tracy (2008),240
Axel,NA,1585,1580,1500,Axel,Netherlands,Eighty Years' War,Netherlands War of Independence,3.9094234,51.2668789,Netherlands,Zeeland,Terneuzen,Tracy (2008),222
Venlo,June,1586,1580,1500,Venlo,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1724031,51.3703748,Netherlands,Limburg,Arcen en Velden,Tracy (2008),221
Zutphen,September,1586,1580,1500,Zutphen,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1960584,52.142736,Netherlands,Gelderland,Warnsveld,Jaques (2007),1137
Grave,NA,1586,1580,1500,Grave,Netherlands,Eighty Years' War,Netherlands War of Independence,5.7383579,51.7589248,Netherlands,Noord-Brabant,Grave,Tracy (2008),221
Coutras,October,1587,1580,1500,Coutras,France,French Wars of Religion,Eighth French War of Religion,-0.129361,45.04067,France,Aquitaine,Gironde,Jaques (2007),267
Vimory,October,1587,1580,1500,Vimory,France,French Wars of Religion,Eighth French War of Religion,2.676921,47.94444,France,Centre,Loiret,Knecht (2010),xix
Auneau,November,1587,1580,1500,Auneau,France,French Wars of Religion,Eighth French War of Religion,1.773238,48.4622839,France,Centre,Eure-et-Loir,Jaques (2007),83
Deventer,NA,1587,1580,1500,Deventer,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1552165,52.2660751,Netherlands,Overijssel,Bathmen,Parker (1977),219
Gertruydenberg (Geertruidenberg),April,1588,1580,1500,Geertruidenberg,Netherlands,Eighty Years' War,Netherlands War of Independence,4.8499781,51.7023659,Netherlands,Noord-Brabant,Geertruidenberg,Jaques (2007),390
Rheinsberg,July,1588,1580,1500,Rheinsberg,Germany,Eighty Years' War,Netherlands War of Independence,12.8974874,53.0983691,Germany,Brandenburg,Brandenburg,Tracy (2008),241
Bergen-op-Zoom,November,1588,1580,1500,Bergen op Zoom,Netherlands,Eighty Years' War,Netherlands War of Independence,4.2871622,51.4945758,Netherlands,Noord-Brabant,Bergen op Zoom,Jaques (2007),132
Medemblik,NA,1588,1580,1500,Medemblik,Netherlands,Eighty Years' War,Netherlands War of Independence,5.1069179,52.7674467,Netherlands,Noord-Holland,Medemblik,Tracy (2008),288
Arques,September,1589,1580,1500,Arques-la-Bataille,France,French Wars of Religion,Nineth French War of Religion,1.125068,49.880241,France,Haute-Normandie,Seine-Maritime,Jaques (2007),69
Breda,March,1590,1590,1500,Breda,Netherlands,Eighty Years' War,Netherlands War of Independence,4.7769505,51.58307,Netherlands,Noord-Brabant,Breda,Jaques (2007),161
Ivry,March,1590,1590,1500,Ivry,France,French Wars of Religion,Nineth French War of Religion,2.38822,48.813055,France,Ile-de-France,Val-de-Marne,Jaques (2007),480
Paris,May,1590,1590,1500,Paris,France,French Wars of Religion,Nineth French War of Religion,2.3522219,48.856614,France,Ile-de-France,Paris,Jaques (2007),777
Chartres,February,1591,1590,1500,Chartres,France,French Wars of Religion,Nineth French War of Religion,1.489012,48.443854,France,Centre,Eure-et-Loir,Knecht (2010),xx
Zutphen,May,1591,1590,1500,Zutphen,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1960584,52.142736,Netherlands,Gelderland,Warnsveld,Jaques (2007),1137
Deventer,June,1591,1590,1500,Deventer,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1552165,52.2660751,Netherlands,Overijssel,Bathmen,Parker (1977),228
Rouen,November,1591,1590,1500,Rouen,France,French Wars of Religion,Nineth French War of Religion,1.099971,49.443232,France,Haute-Normandie,Seine-Maritime,Jaques (2007),866
Aumale,February,1592,1590,1500,Aumale,France,French Wars of Religion,Nineth French War of Religion,1.752119,49.76861,France,Haute-Normandie,Seine-Maritime,Jaques (2007),83
Caudebec,April,1592,1590,1500,Caudebec-en-Caux,France,French Wars of Religion,Nineth French War of Religion,0.723336,49.525303,France,Haute-Normandie,Seine-Maritime,Jaques (2007),213
Steenwijk,May,1592,1590,1500,Steenwijk,Netherlands,Eighty Years' War,Netherlands War of Independence,6.1180686,52.7868939,Netherlands,Overijssel,Steenwijkerland,Jaques (2007),969
Gertruydenberg (Geertruidenberg),March,1593,1590,1500,Geertruidenberg,Netherlands,Eighty Years' War,Netherlands War of Independence,4.8499781,51.7023659,Netherlands,Noord-Brabant,Geertruidenberg,Jaques (2007),390
Groningen,April,1594,1590,1500,Groningen,Netherlands,Eighty Years' War,Netherlands War of Independence,6.5665018,53.2193835,Netherlands,Groningen,Groningen,Jaques (2007),412
Fontaine-Francaise,June,1595,1590,1500,Fontaine-Francaise,France,French Wars of Religion,Nineth French War of Religion,5.370847,47.526469,France,Bourgogne,Cote-d'Or,Jaques (2007),357
Calais,April,1596,1590,1500,Calais,France,French Wars of Religion,Nineth French War of Religion,1.858686,50.95129,France,Nord-Pas-de-Calais,Pas-de-Calais,Jaques (2007),184
Turnhout,January,1597,1590,1500,Turnhout,Belgium,Eighty Years' War,Netherlands War of Independence,4.9375577,51.3216509,Belgium,Vlaanderen,Antwerpen,Jaques (2007),1045
Rheinberg,August,1597,1590,1500,Rheinberg,Germany,Eighty Years' War,Netherlands War of Independence,6.5899097,51.5460798,Germany,Nordrhein-Westfalen,Dusseldorf,Israel (1997),29
Amiens,September,1597,1590,1500,Amiens,France,French Wars of Religion,Nineth French War of Religion,2.295753,49.894067,France,Picardie,Somme,Jaques (2007),45
Bredevoort,NA,1597,1590,1500,Bredevoort,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6184985,51.9421422,Netherlands,Gelderland,Aalten,Israel (1997),30
Enschede,NA,1597,1590,1500,Enschede,Netherlands,Eighty Years' War,Netherlands War of Independence,6.8936619,52.2215372,Netherlands,Overijssel,Enschede,Israel (1997),30
Grol (Groenlo),NA,1597,1590,1500,Groenlo,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6113711,52.0419627,Netherlands,Gelderland,Groenlo,Israel (1997),30
Lingen,NA,1597,1590,1500,Lingen,Germany,Eighty Years' War,Netherlands War of Independence,7.323279,52.52306,Germany,Niedersachsen,Weser-Ems,Israel (1997),30
Oldenzaal,NA,1597,1590,1500,Oldenzaal,Netherlands,Eighty Years' War,Netherlands War of Independence,6.9268283,52.3116551,Netherlands,Overijssel,Oldenzaal,Israel (1997),30
Nieuport (Nieuwpoort),July,1600,1600,1600,Nieuwpoort,Belgium,Eighty Years' War,Netherlands War of Independence,2.7480158,51.1284823,Belgium,Wallonie,West-Vlaanderen,Jaques (2007),730
Ostend,July,1601,1600,1600,Ostend,Belgium,Eighty Years' War,Netherlands War of Independence,2.928656,51.21543,Belgium,Wallonie,West-Vlaanderen,Jaques (2007),760
Narrow Seas,September,1602,1600,1600,Dunkirk,France,Eighty Years' War,Netherlands War of Independence,2.3767763,51.0343684,France,Nord-Pas-de-Calais,Nord,Jaques (2007),714
Geneva,NA,1602,1600,1600,Geneva,Switzerland,Swiss Religious Wars,NA,6.1422961,46.1983922,Switzerland,Geneve,Geneve,Jaques (2007),388
Sluys (Sluis),May,1603,1600,1600,Sluis,Netherlands,Eighty Years' War,Netherlands War of Independence,3.3879195,51.3086558,Netherlands,Zeeland,Sluis,Jaques (2007),952
Sluys (Sluis),NA,1604,1600,1600,Sluis,Netherlands,Eighty Years' War,Netherlands War of Independence,3.3879195,51.3086558,Netherlands,Zeeland,Sluis,Jaques (2007),952
Lingen,August,1605,1600,1600,Lingen,Germany,Eighty Years' War,Netherlands War of Independence,7.323279,52.52306,Germany,Niedersachsen,Weser-Ems,Israel (1997),31
Mulheim,October,1605,1600,1600,Mulheim,Germany,Eighty Years' War,Netherlands War of Independence,6.8845226,51.4185682,Germany,Nordrhein-Westfalen,Dusseldorf,Jaques (2007),696
Bredevoort,NA,1606,1600,1600,Bredevoort,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6184985,51.9421422,Netherlands,Gelderland,Aalten,Israel (1997),31
Cape St. Vincent,NA,1606,1600,1600,Cape St. Vincent,Portugal,Eighty Years' War,Netherlands War of Independence,-8.9964565,37.0230468,Portugal,Faro,Vila do Bispo,Jaques (2007),198
Grol (Groenlo),NA,1606,1600,1600,Groenlo,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6113711,52.0419627,Netherlands,Gelderland,Groenlo,Israel (1997),31
Rheinberg,NA,1606,1600,1600,Rheinberg,Germany,Eighty Years' War,Netherlands War of Independence,6.5899097,51.5460798,Germany,Nordrhein-Westfalen,Dusseldorf,Israel (1997),31
Gibraltar,April,1607,1600,1600,Gibraltar,Spain,Eighty Years' War,Netherlands War of Independence,-5.353585,36.140751,Gibraltar,NA,NA,Jaques (2007),393
Julich,NA,1609,1600,1600,Julich,Germany,Thirty Years' War,NA,6.3639119,50.9224226,Germany,Nordrhein-Westfalen,Koln,Wilson (2009),232
Aachen,August,1614,1610,1600,Aachen,Germany,Eighty Years' War,Netherlands War of Independence,6.0838868,50.7753455,Germany,Nordrhein-Westfalen,Koln,Israel (1997),32
Pilsen,November,1618,1610,1600,Pilsen,Czech Republic,Thirty Years' War,Bohemian War,13.373637,49.738431,Czech Republic,Plzensky,Plzen,Jaques (2007),797
Sablat (Zablati),June,1619,1610,1600,Budejovice,Czech Republic,Thirty Years' War,Bohemian War,14.480255,48.975658,Czech Republic,Jihocesky,Ceske Budejovice,Jaques (2007),873
Vienna,June,1619,1610,1600,Vienna,Austria,Thirty Years' War,NA,16.3738189,48.2081743,Austria,Wien,Wien,Wilson (2009),280
Bruck an der Leitha,November,1619,1610,1600,Bruck an der Leitha,Austria,Thirty Years' War,NA,16.77534,48.02375,Austria,Niederosterreich,Bruck an der Leitha,Wilson (2009),291
Kreuznach,August,1620,1620,1600,Kreuznach,Germany,Thirty Years' War,NA,12.795201,52.9345045,Germany,Brandenburg,Brandenburg,Wilson (2009),300
Bautzen,October,1620,1620,1600,Bautzen,Germany,Thirty Years' War,NA,14.4237749,51.182293,Germany,Sachsen,Dresden,Wilson (2009),301
